iter	Passed	Remaining
515	3285	3081
516	3291	3075
517	3297	3068
518	3303	3061
519	3309	3055
520	3315	3048
521	3321	3041
522	3328	3035
523	3334	3028
524	3340	3022
525	3346	3015
526	3352	3008
527	3358	3002
528	3364	2995
529	3370	2989
530	3376	2982
531	3382	2975
532	3388	2969
533	3395	2962
534	3401	2956
535	3407	2949
536	3413	2942
537	3419	2936
538	3425	2929
539	3431	2923
540	3437	2916
541	3443	2909
542	3449	2903
543	3455	2896
544	3461	2889
545	3467	2883
546	3473	2876
547	3479	2870
548	3485	2863
549	3491	2856
550	3498	2850
551	3504	2843
552	3509	2837
553	3516	2830
554	3521	2823
555	3528	2817
556	3533	2810
557	3539	2803
558	3546	2797
559	3552	2790
560	3558	2784
561	3564	2777
562	3569	2771
563	3575	2764
564	3582	2757
565	3588	2751
566	3594	2745
567	3601	2738
568	3606	2732
569	3612	2725
570	3619	2719
571	3625	2712
572	3631	2706
573	3637	2699
574	3643	2692
575	3649	2686
576	3655	2680
577	3662	2673
578	3668	2667
579	3674	2660
580	3681	2654
581	3686	2647
582	3693	2641
583	3698	2634
584	3704	2628
585	3711	2621
586	3717	2615
587	3723	2608
588	3729	2602
589	3735	2595
590	3741	2589
591	3747	2582
592	3753	2576
593	3759	2569
594	3765	2562
595	3771	2556
596	3777	2549
597	3783	2543
598	3790	2537
599	3796	2531
600	3802	2524
601	3808	2518
602	3815	2511
603	3820	2505
604	3826	2498
605	3833	2492
606	3839	2485
607	3845	2479
608	3851	2472
609	3857	2466
610	3863	2459
611	3869	2453
612	3875	2446
613	3881	2440
614	3887	2433
615	3893	2427
616	3899	2420
617	3906	2414
618	3912	2407
619	3918	2401
620	3924	2394
621	3930	2388
622	3936	2381
623	3942	2375
624	3948	2368
625	3954	2362
626	3960	2356
627	3966	2349
628	3972	2343
629	3978	2336
630	3985	2330
631	3991	2323
632	3997	2317
633	4003	2311
634	4009	2304
635	4015	2298
636	4021	2291
637	4027	2285
638	4033	2278
639	4039	2272
640	4045	2265
641	4051	2259
642	4057	2252
643	4063	2246
644	4069	2239
645	4075	2233
646	4081	2226
647	4087	2220
648	4093	2213
649	4099	2207
650	4105	2200
651	4111	2194
652	4117	2187
653	4123	2181
654	4129	2174
655	4135	2168
656	4141	2162
657	4147	2155
658	4153	2149
659	4159	2142
660	4165	2136
661	4171	2129
662	4178	2123
663	4184	2117
664	4190	2111
665	4196	2104
666	4202	2098
667	4208	2091
668	4214	2085
669	4220	2078
670	4226	2072
671	4232	2065
672	4238	2059
673	4244	2052
674	4250	2046
675	4256	2039
676	4261	2033
677	4267	2026
678	4274	2020
679	4279	2014
680	4285	2007
681	4291	2001
682	4297	1994
683	4303	1988
684	4309	1981
685	4315	1975
686	4321	1968
687	4327	1962
688	4333	1956
689	4339	1949
690	4345	1943
691	4351	1936
692	4357	1930
693	4363	1924
694	4369	1917
695	4375	1911
696	4382	1905
697	4388	1898
698	4394	1892
699	4400	1885
700	4406	1879
701	4412	1873
702	4418	1866
703	4424	1860
704	4430	1853
705	4435	1847
706	4442	1840
707	4448	1834
708	4454	1828
709	4460	1821
710	4466	1815
711	4472	1809
712	4478	1802
713	4484	1796
714	4490	1789
715	4496	1783
716	4502	1777
717	4508	1770
718	4514	1764
719	4520	1757
720	4526	1751
721	4532	1745
722	4538	1738
723	4544	1732
724	4550	1726
725	4556	1719
726	4562	1713
727	4568	1706
728	4575	1700
729	4581	1694
730	4587	1687
731	4593	1681
732	4599	1675
733	4604	1668
734	4611	1662
735	4616	1656
736	4622	1649
737	4629	1643
738	4635	1637
739	4642	1630
740	4647	1624
741	4654	1618
742	4660	1611
743	4666	1605
744	4671	1599
745	4678	1592
746	4684	1586
747	4691	1580
748	4698	1574
749	4704	1568
750	4712	1562
751	4719	1556
752	4725	1550
753	4732	1544
754	4738	1537
755	4744	1531
756	4750	1524
757	4756	1518
758	4762	1512
759	4769	1506
760	4775	1499
761	4781	1493
762	4787	1487
763	4793	1480
764	4799	1474
765	4805	1468
766	4811	1461
767	4817	1455
768	4823	1449
769	4829	1442
770	4835	1436
771	4841	1429
772	4847	1423
773	4853	1417
774	4859	1410
775	4865	1404
776	4872	1398
777	4878	1391
778	4884	1385
779	4890	1379
780	4896	1372
781	4902	1366
782	4908	1360
783	4914	1353
784	4920	1347
785	4926	1341
786	4932	1334
787	4938	1328
788	4944	1322
789	4950	1315
790	4956	1309
791	4962	1303
792	4968	1296
793	4974	1290
794	4980	1284
795	4986	1278
796	4992	1271
797	4998	1265
798	5004	1259
799	5010	1252
800	5016	1246
801	5022	1240
802	5028	1233
803	5034	1227
804	5040	1221
805	5046	1214
806	5052	1208
807	5058	1202
808	5064	1195
809	5070	1189
810	5076	1183
811	5082	1176
812	5088	1170
813	5094	1164
814	5100	1157
815	5106	1151
816	5111	1145
817	5117	1138
818	5123	1132
819	5129	1126
820	5135	1119
821	5141	1113
822	5146	1106
823	5152	1100
824	5159	1094
825	5165	1088
826	5171	1081
827	5177	1075
828	5183	1069
829	5189	1062
830	5195	1056
831	5201	1050
832	5206	1043
833	5212	1037
834	5218	1031
835	5224	1024
836	5230	1018
837	5236	1012
838	5242	1005
839	5248	999
840	5254	993
841	5259	987
842	5266	980
843	5271	974
844	5277	968
845	5283	961
846	5289	955
847	5295	949
848	5301	942
849	5307	936
850	5313	930
851	5319	924
852	5325	917
853	5331	911
854	5337	905
855	5343	898
856	5349	892
857	5355	886
858	5361	880
859	5366	873
860	5373	867
861	5378	861
862	5384	854
863	5390	848
864	5396	842
865	5402	835
866	5408	829
867	5413	823
868	5418	816
869	5424	810
870	5430	804
871	5436	798
872	5442	791
873	5448	785
874	5454	779
875	5460	772
876	5466	766
877	5472	760
878	5478	754
879	5484	747
880	5489	741
881	5495	735
882	5501	728
883	5507	722
884	5513	716
885	5519	710
886	5525	703
887	5530	697
888	5536	691
889	5542	685
890	5548	678
891	5555	672
892	5561	666
893	5567	660
894	5573	653
895	5578	647
896	5584	641
897	5590	635
898	5596	628
899	5602	622
900	5608	616
901	5614	609
902	5620	603
903	5626	597
904	5632	591
905	5638	585
906	5644	578
907	5650	572
908	5656	566
909	5662	559
910	5667	553
911	5673	547
912	5679	541
913	5685	534
914	5691	528
915	5697	522
916	5703	516
917	5709	509
918	5715	503
919	5720	497
920	5726	491
921	5732	484
922	5738	478
923	5744	472
924	5751	466
925	5757	460
926	5763	453
927	5769	447
928	5775	441
929	5780	435
930	5786	428
931	5792	422
932	5798	416
933	5804	410
934	5809	403
935	5815	397
936	5821	391
937	5827	385
938	5832	378
939	5838	372
940	5844	366
941	5850	360
942	5856	353
943	5862	347
944	5868	341
945	5874	335
946	5880	329
947	5886	322
948	5892	316
949	5898	310
950	5904	304
951	5910	298
952	5916	291
953	5923	285
954	5929	279
955	5935	273
956	5941	266
957	5948	260
958	5954	254
959	5960	248
960	5966	242
961	5972	235
962	5978	229
963	5984	223
964	5990	217
965	5997	211
966	6002	204
967	6009	198
968	6015	192
969	6021	186
970	6027	180
971	6033	173
972	6039	167
973	6045	161
974	6052	155
975	6058	148
976	6064	142
977	6070	136
978	6076	130
979	6082	124
980	6088	117
981	6094	111
982	6100	105
983	6106	99
984	6112	93
985	6118	86
986	6124	80
987	6130	74
988	6136	68
989	6143	62
990	6149	55
991	6155	49
992	6161	43
993	6167	37
994	6173	31
995	6179	24
996	6185	18
997	6191	12
998	6197	6
999	6203	0
