iter	Logloss
0	0.6506975388
1	0.6093308003
2	0.5728688599
3	0.5392764902
4	0.5054562164
5	0.4725968842
6	0.445109899
7	0.4207054189
8	0.3973006109
9	0.3799615964
10	0.3628938741
11	0.3446812461
12	0.3293838212
13	0.3170429481
14	0.3052479801
15	0.2919966179
16	0.2819227027
17	0.2707846164
18	0.2620632025
19	0.2533808751
20	0.2464846777
21	0.2384648772
22	0.2306342189
23	0.223729338
24	0.2185829645
25	0.2129087126
26	0.2074965809
27	0.2020550963
28	0.1975294092
29	0.1933482382
30	0.1891364145
31	0.1840253269
32	0.1796123598
33	0.1764432296
34	0.172653618
35	0.1693577873
36	0.1659792997
37	0.1626038004
38	0.1598729108
39	0.15770324
40	0.1550094483
41	0.1517390149
42	0.1496099729
43	0.1464828068
44	0.1444331197
45	0.1424455984
46	0.140247365
47	0.138308997
48	0.1366534203
49	0.1351384942
50	0.1331353848
51	0.1315223473
52	0.1298055455
53	0.1282562043
54	0.1263187988
55	0.1249309823
56	0.1240490345
57	0.1228695092
58	0.1213208556
59	0.1199416724
60	0.1189842711
61	0.1175957614
62	0.1162949256
63	0.1151923619
64	0.1140256677
65	0.1130545866
66	0.1118778875
67	0.1110926177
68	0.1104788145
69	0.1095481769
70	0.1088561771
71	0.1080842055
72	0.1072914831
73	0.1064258887
74	0.105862086
75	0.1049658814
76	0.1044455363
77	0.103326084
78	0.102858453
79	0.1023272727
80	0.1017811827
81	0.1011717843
82	0.1003645524
83	0.09983272099
84	0.09907730485
85	0.0984919351
86	0.09808998998
87	0.0975788962
88	0.09702897178
89	0.09655852642
90	0.09604791744
91	0.09570401409
92	0.09506371089
93	0.09472422631
94	0.09432962714
95	0.09395373636
96	0.09327461181
97	0.09268220376
98	0.09218962348
99	0.09184113668
100	0.09131799259
101	0.09061290971
102	0.09017471055
103	0.08967398497
104	0.08926976849
105	0.08862353329
106	0.08836177717
107	0.08786752558
108	0.08743284683
109	0.08710986098
110	0.08662204194
111	0.08614638013
112	0.08584120529
113	0.08548484614
114	0.08518499469
115	0.08494986991
116	0.08454234712
117	0.08422678784
118	0.08378410425
119	0.08340044333
120	0.08311532593
121	0.08269207406
122	0.08238615627
123	0.08193348159
124	0.08158738252
125	0.08128184052
126	0.08091070559
127	0.08053723244
128	0.08025049499
129	0.07997086685
130	0.07964597212
131	0.07933961973
132	0.07899193883
133	0.07865085431
134	0.07835061151
135	0.07779665929
136	0.0772963735
137	0.07700093822
138	0.0768319647
139	0.07644558591
